datetime,stake,unstake,deposit,redeem,stake_tx_count,unstake_tx_count,deposit_tx_count,redeem_tx_count,stake_addr_count,unstake_addr_count,deposit_addr_count,redeem_addr_count
2021-04-05 2:00,35.88831405,2,3044.213634,0,6,1,4,0,6,1,4,0
2021-04-05 3:00,206.0035202,217.3791057,0,0,6,5,0,0,6,5,0,0
2021-04-05 4:00,189.8285244,19.0069,0,3.349748344,6,2,0,2,6,2,0,2
2021-04-05 5:00,134.0239478,158.5518532,127.3789,11.30284996,9,3,2,3,9,3,2,2
2021-04-05 6:00,144.3998554,283.3386021,267.215515,0,3,5,1,0,3,4,1,0
2021-04-05 7:00,1.837350722,63.11763681,0,20.3704018,2,1,0,1,2,1,0,1
2021-04-05 8:00,58.05453896,144.8506609,0,7.922011763,3,5,0,2,3,5,0,2
2021-04-05 9:00,3.737079576,157.4694672,0,0,1,4,0,0,1,4,0,0
2021-04-05 10:00,213.6576837,64.93925062,0,0,6,2,0,0,6,2,0,0
2021-04-05 11:00,48.10195423,35.19905152,0,21.47584811,4,4,0,1,4,4,0,1
2021-04-05 12:00,8.268457625,111.2629227,0,1.430986967,3,3,0,1,3,3,0,1
2021-04-05 13:00,137.3791628,59.55010048,0,4.951440145,7,1,0,1,7,1,0,1
2021-04-05 14:00,59.74586776,20,0,0.855672503,5,1,0,1,5,1,0,1
2021-04-05 15:00,197.886218,116.0509867,0,0,7,2,0,0,7,2,0,0
2021-04-05 16:00,29.72681805,442.2460399,0,0,4,6,0,0,4,6,0,0
2021-04-05 17:00,30.24062975,86.85734546,0,0,6,6,0,0,6,6,0,0
2021-04-05 18:00,67.65655685,40.21018182,0,0,6,3,0,0,6,3,0,0
2021-04-05 19:00,199.4229739,353.4636551,0,0,7,6,0,0,7,5,0,0
2021-04-05 20:00,203.6281117,1.175193446,0,0,3,1,0,0,3,1,0,0
2021-04-05 21:00,27.64216581,126.3897,0,0,5,3,0,0,5,3,0,0
2021-04-05 22:00,153.8195591,0,0,99.36394393,8,0,0,1,8,0,0,1
2021-04-05 23:00,42.73687601,30.26967561,0,0,5,1,0,0,5,1,0,0
2021-04-06 0:00,11.92682231,2,0,20.73033114,4,1,0,1,4,1,0,1
2021-04-06 1:00,189.9889991,0,0,29.19181256,12,0,0,1,12,0,0,1
2021-04-06 2:00,27.94489146,0,0,8.692776634,4,0,0,2,4,0,0,2
2021-04-06 3:00,49.23138839,6.551996297,0,0,8,1,0,0,8,1,0,0
2021-04-06 4:00,30.30368961,145.8413006,7631.514428,63.11825902,11,1,2,2,11,1,2,2
2021-04-06 5:00,110.5019374,0,0,0,4,0,0,0,4,0,0,0
2021-04-06 6:00,28.62036312,0,0,0,4,0,0,0,4,0,0,0
2021-04-06 7:00,9.295479444,0,0,0,2,0,0,0,2,0,0,0
2021-04-06 8:00,0,3.0648,0,15.44852698,0,1,0,1,0,1,0,1
2021-04-06 9:00,33.46085231,5,0,0,4,1,0,0,4,1,0,0
2021-04-06 10:00,103.36729,0,0,37.72299834,4,0,0,1,4,0,0,1
2021-04-06 11:00,6.5928,19.22539822,0,0.722998879,1,2,0,1,1,2,0,1
2021-04-06 12:00,1,118.0636832,0,0,1,2,0,0,1,2,0,0
2021-04-06 13:00,25.52269753,58.1045,0,0,2,1,0,0,2,1,0,0
2021-04-06 14:00,86.14904598,0,0,0,2,0,0,0,2,0,0,0
2021-04-06 15:00,33.64568745,4,0,0,4,1,0,0,4,1,0,0
2021-04-06 16:00,1.224669234,19.39820906,0,0,1,1,0,0,1,1,0,0
2021-04-06 17:00,26.25572298,0,0,12.09921151,4,0,0,1,4,0,0,1
2021-04-06 18:00,42.20466597,10.56760602,550.4910241,61.0964835,3,1,1,3,3,1,1,3
2021-04-06 19:00,1.9266,18.00127713,0,9.96291389,1,1,0,1,1,1,0,1
2021-04-06 20:00,5,100.4596758,0,4.772305678,1,2,0,1,1,1,0,1
2021-04-06 21:00,63.2087112,141.1088336,0,35.99362177,4,2,0,2,4,2,0,2
2021-04-06 22:00,19.88855868,55.18403158,0,26.82573399,4,4,0,1,4,4,0,1
2021-04-06 23:00,84.46446254,126.2622099,0,0,7,4,0,0,7,4,0,0
2021-04-07 0:00,38.05388498,0,0,30.99591466,6,0,0,3,6,0,0,2
2021-04-07 1:00,144.17946,2.65,0,0,11,2,0,0,10,2,0,0
2021-04-07 2:00,56.38049853,8.665253179,0,1.715238629,10,3,0,1,10,2,0,1
2021-04-07 3:00,83.9589044,0,0,1.540916468,8,0,0,1,8,0,0,1
2021-04-07 4:00,44.55044499,103.3579114,820.4688669,0,10,5,3,0,10,4,3,0
2021-04-07 5:00,210.1220895,176.7649173,3378.953718,93.20960237,10,3,1,1,10,3,1,1
2021-04-07 6:00,149.9225301,6,3884.208069,0,8,2,2,0,8,2,2,0
2021-04-07 7:00,50.07008865,214.4441569,0,0,2,5,0,0,2,5,0,0
2021-04-07 8:00,13.10859528,8.604216764,0,0,4,1,0,0,4,1,0,0
2021-04-07 9:00,94.9777116,8,0,78.02389982,5,1,0,1,5,1,0,1
2021-04-07 10:00,15.49032353,73.8093577,0,0,3,2,0,0,3,2,0,0
2021-04-07 11:00,7.5492,28.6982,0,0,1,3,0,0,1,3,0,0
2021-04-07 12:00,52.87786073,48,49.84432337,0.8405746,6,3,1,1,6,3,1,1
2021-04-07 13:00,845.1854135,10,0,0,4,1,0,0,4,1,0,0
2021-04-07 14:00,63.93021616,19,0,0,4,1,0,0,4,1,0,0
2021-04-07 15:00,75.52837281,88.72188914,0,0,4,5,0,0,4,5,0,0
2021-04-07 16:00,4.055465335,3.350791764,0,0,2,1,0,0,2,1,0,0
2021-04-07 17:00,32.1707326,14.6412,0,0,3,2,0,0,3,2,0,0
2021-04-07 18:00,21.34603613,84.3217428,0,0,5,2,0,0,5,2,0,0
2021-04-07 19:00,78.23332578,14.09382792,0,0,4,2,0,0,4,2,0,0
2021-04-07 20:00,51.55372205,11.61709839,0,0,3,2,0,0,3,2,0,0
2021-04-07 21:00,14.55670519,6.835637971,0,9.174467676,2,2,0,2,2,2,0,1
2021-04-07 22:00,12.736364,117.0812815,0,0,3,6,0,0,3,5,0,0
2021-04-07 23:00,266.1899262,257.728,0,3.255644199,4,2,0,1,4,2,0,1
2021-04-08 0:00,336.9760381,329.2689189,0,15.95923382,8,5,0,2,8,4,0,2
2021-04-08 1:00,132.9153072,127.0236046,2508.745046,13.27975097,6,2,1,1,6,2,1,1
2021-04-08 2:00,178.1728721,0,284.8672889,52.11409453,5,0,2,1,4,0,2,1
2021-04-08 3:00,334.9179346,182.8289939,0,38.62875291,11,3,0,3,11,3,0,3
2021-04-08 4:00,64.86910966,311.7723813,122.6940447,0,9,5,1,0,8,5,1,0
2021-04-08 5:00,146.4909204,43.78201835,411.5733925,4.264810549,8,2,1,1,8,2,1,1
2021-04-08 6:00,83.53321412,51.95672149,223.0443079,0,8,2,2,0,8,2,2,0
2021-04-08 7:00,3.292948783,26,2138.314083,0,1,1,1,0,1,1,1,0
2021-04-08 8:00,43.22251928,11.3047111,0,2.135902244,6,2,0,1,6,2,0,1
2021-04-08 9:00,388.9967817,192.2420423,3660.032647,0,8,9,2,0,8,8,2,0
2021-04-08 10:00,94.32332489,25.31663595,0,88.46158196,4,2,0,2,4,2,0,2
2021-04-08 11:00,32.62917408,175.1636806,0,1.944715495,7,4,0,1,7,4,0,1
2021-04-08 12:00,84.18774109,30.33924035,0,0,6,3,0,0,6,3,0,0
2021-04-08 13:00,5.2576,20.08866409,0,0,2,2,0,0,2,2,0,0
2021-04-08 14:00,22.25636711,0,0,0,2,0,0,0,2,0,0,0
2021-04-08 15:00,20.62786018,3.996877668,0,0,7,1,0,0,7,1,0,0
2021-04-08 16:00,7.961363169,46.71422667,2318.094476,17.35296904,4,2,1,3,4,2,1,3
2021-04-08 17:00,69.30729359,32.50971664,0,0,3,1,0,0,3,1,0,0
2021-04-08 18:00,258.2388057,521.8120207,0,8.899620638,13,2,0,2,12,2,0,2
2021-04-08 19:00,376.6523856,451.3888953,556.0817107,9.220947504,16,9,2,1,15,9,2,1
2021-04-08 20:00,246.3902167,212.0328688,78.53351214,1.355336265,16,6,1,2,16,6,1,2
2021-04-08 21:00,142.8960721,91.9157,0,2.423911918,7,4,0,2,7,4,0,2
2021-04-08 22:00,36.05253089,82.2687,0,54.31801566,7,2,0,1,7,2,0,1
2021-04-08 23:00,191.1097362,51.23,582.0572097,3.504010018,13,3,1,1,13,3,1,1
2021-04-09 0:00,35.75878556,0,0,0,8,0,0,0,8,0,0,0
